 Unnamed: 0                    CODIGO                                      DISCRIPCION           MARCA      GRUPO  UNIDA    COSTO      P-A     P-B
        NaN                 0917-B-26                          MALLASDENAV.DORADOCHICA              HF     FIESTA    NaN    0.750   0.9400   0.780
        NaN                 0917-B-53                               MALLASDENAV.DORADA              HF     FIESTA    NaN    1.450   1.7000   1.690
        NaN                 0917-F-26                            MALLASDENAV.ROJOCHICA              HF     FIESTA    NaN    0.750   0.9400   0.780
        NaN                 0917-F-53                                 MALLASDENAV.ROJA              HF     FIESTA    NaN    1.450   1.7000   1.690
        NaN                 0917-G-53                             MALLASDENAV.PLATIADA              HF     FIESTA    NaN    1.450   1.7000   1.690
        NaN                  095-1LBF                       CORTAHIERBACUADRADOGRANDE.            H.F. FERRETERIA    NaN    0.000   3.6900   3.510
        NaN                  095-1LBY                        CORTAHIERBAREDONDOGRANDE.            H.F. FERRETERIA    NaN    0.000   3.6900   3.510
        NaN                   095-9MF                        CORTAHIERBACUADRADOCHICO.            H.F. FERRETERIA    NaN    0.440   0.5300   0.460
        NaN                   095-9MY                         CORTAHIERBAREDONDOCHICO.            H.F. FERRETERIA    NaN    0.440   0.5300   0.460
        NaN                  1002-15.                  CONTACBRILLANTEDE15MTSDECOLROJO            H.F.    ESCOLAR    NaN    3.950   4.3800   4.170
        NaN                    1002-3                    CONTACBRILLANTEDE3MTSPLATIADO            H.F.    ESCOLAR    NaN    0.730   0.9500   0.940
        NaN                     1002A                        CEPILLOPARALIMPIARZAPATOS            H.F.      HOGAR    NaN    0.000   0.3500   0.340
        NaN                     1003-                      MASILLASDE12PALITOSSURT.COL              HF    ESCOLAR    NaN    0.360   0.4900   0.470
        NaN                  1003-15.                 CONTACBRILLANTEDE15MTSDECOL.AZUL            H.F.    ESCOLAR    NaN    3.950   4.3800   4.170
        NaN                    1003-3                        CONTACBRILLANTEDE3MTSAZUL            H.F.    ESCOLAR    NaN    0.730   0.9500   0.940
        NaN                  1005-15.                CONTACBRILLANTEDE15MTSDECOL.VERDE            H.F.    ESCOLAR    NaN    3.950   4.3800   4.170
        NaN                    1005-3                   CONTACBRILLANTEDE3MTSCOL.VERDE            H.F.    ESCOLAR    NaN    0.730   0.9500   0.940
        NaN                  1006-15.                   CONTACBRILLANTEDE15MTSPLATIADO            H.F.    ESCOLAR    NaN    3.950   4.3800   4.170
        NaN                    1006-3                      CONTACBRILLANTEDE3MTSDORADO            H.F.    ESCOLAR    NaN    0.730   0.9500   0.940
        NaN                  1016-15.                    CONTACBRILLANTEDE15MTS.DORADO            H.F.    ESCOLAR    NaN    3.950   4.3800   4.170
        NaN                  10169-60                               PARAGUASDOBLEFORRO              HF      HOGAR    NaN    2.150   2.2400   2.230
        NaN                  10169-65                                   PARAGUASNUEVOS              HF      HOGAR    NaN    0.000   2.9200   2.780
        NaN                  102352-1                         CAJITASDEREGALOTORNASOL.            H.F.     FIESTA    NaN    0.000   0.3600   0.350
        NaN                  102352-2                 CAJITASDEREGALOCHIQUITASCOLSURT.            H.F.     FIESTA    NaN    0.000   0.1500   0.140
        NaN                  102352-3          CAJITASDEREGALOCHIQUITASREDONDACOLSURT.            H.F.     FIESTA    NaN    0.000   0.1100   0.100
        NaN                  102352-4             CAJITASDEREGALOGRANDEREDONDACOLSURT.            H.F.     FIESTA    NaN    0.000   0.1800   0.170
        NaN                  102352-5                 CAJITASDEREGALOCUADRADACOL.SURT.            H.F.     FIESTA    NaN    0.000   0.2500   0.240
        NaN                  102352-6                 CAJITASDEREGALOCUADRADACOL.SURT.            H.F.     FIESTA    NaN    0.000   0.2600   0.250
        NaN                  102352-7                   CAJITASDEREGALOLARGASP/CADENAS            H.F.     FIESTA    NaN    0.000   0.2600   0.250
        NaN                  102352-8                       CAJITASDEREGALOPARACADENA2            H.F.     FIESTA    NaN    0.000   0.2600   0.250
        NaN                    103104                       TACHUELASDEMETAL-PLATIADAS            H.F.    NAVIDAD    NaN    0.220   0.2700   0.230
        NaN                    103117                      TACHUELADEMETAL-COLSURTIDOS            H.F.    NAVIDAD    NaN    0.220   0.2700   0.230
        NaN                    103138                      TACHUELAPLASTICOSURTIDOCOL.            H.F.    NAVIDAD    NaN    0.220   0.2700   0.230
        NaN                   10392-1                    BOLSITASDEREGALODISDECORAZON.              HF      HOGAR    NaN    0.000   0.2700   0.260
        NaN                   10408-1                    BOLSITASDEPAPELDECOL.CHIQUITA              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                  10408-1B                             BOLSITASDEPAPELNEGRO              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                 10408-1H.                           BOLSITASDEPAPELCOLORES              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                 10408-1L.                              BOLSITASDEPAPELAZUL              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                  10408-1R                              BOLSITASDEPAPELROJO              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                 10408-1W.                             BOLSITASDEPAPELWHITE              HF     FIESTA    NaN    0.000   0.1500   0.130
        NaN                   10408-2                    BOLSITASDEPAPELDECOL.MEDIANAS              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                  10408-21                    BOLSITASDEPAPELMANILACHIQUITA              HF     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  10408-27                     BOLSITASDEPAPELMANILAMEDIANA              HF     FIESTA    NaN    0.160   0.1900   0.170
        NaN                 10408-2B.                             BOLSITASDEPAPELNEGRO              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                 10408-2H.                           BOLSITASDEPAPELCOLORES              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                 10408-2L.                              BOLSITASDEPAPELAZUL              HF     FIESTA    NaN    0.000   0.1800   0.160
        NaN                 10408-2R.                              BOLSITASDEPAPELROJO              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                 10408-2W.                            BOLSITASDEPAPELBLANCO              HF     FIESTA    NaN    0.000   0.1800   0.170
        NaN                  10408-33                      BOLSITASDEPAPELMANILAGRANDE              HF    SEDERIA    NaN    0.180   0.2200   0.190
        NaN                  104249-7                                PLATOSDEMELANINA1              HF    JUGUETE    NaN    0.180   0.2000   0.190
        NaN                  104249-8                                PLATOSDEMELANINA2              HF    JUGUETE    NaN    0.230   0.2800   0.240
        NaN                  104249-9                                PLATOSDEMELANINA3              HF    JUGUETE    NaN    0.280   0.3100   0.290
        NaN                  104504-6                         PLATOSDEMELANINAREDONDO1              HF    JUGUETE    NaN    0.130   0.1600   0.140
        NaN                  104504-7                          PLATODEMELANINAREDONDO2              HF    JUGUETE    NaN    0.160   0.1800   0.170
        NaN                  104504-8                            PLATODEMELANINASOPERO              HF    JUGUETE    NaN    0.190   0.2100   0.200
        NaN                  105-1LBF                       CORTAHIERBAGRANDECUADRADO.            H.F. FERRETERIA    NaN    3.350   3.6900   3.510
        NaN                  105-1LBY                        CORTAHIERBAGRANDEREDONDO.            H.F. FERRETERIA    NaN    3.350   3.6900   3.510
        NaN                    105606                             GLOBOSJUEGODE100PZAS            H.F.    NAVIDAD    NaN    3.250   3.5800   3.410
        NaN                    105929                    SETDEVASIJASPLASTICASOVALADAS              HF      HOGAR    NaN    1.330   1.4600   1.390
        NaN                   105-9MF                        CORTAHIERBACHICOCUADRADO.            H.F. FERRETERIA    NaN    0.520   0.6200   0.540
        NaN                   105-9MY                         CORTAHIERBACHICOREDONDO.            H.F. FERRETERIA    NaN    0.520   0.6200   0.540
        NaN                       108                               CEPILLODEMADERCOL.             NaN     FIESTA    NaN    0.000   0.2700   0.260
        NaN                    110033                           SETDEVASIJASPLASTICAS2              HF      HOGAR    NaN    1.000   1.2600   1.050
        NaN                    110119                     SETDEVASIJASPLASTICASREDONDO              HF      HOGAR    NaN    0.960   1.2000   1.000
        NaN                    110216                            SETDEVASIJASCUADRADAS              HF      HOGAR    NaN    1.030   1.2900   1.080
        NaN                   110-25*                          ROLLODECESPEDARTIFICIAL              HF      HOGAR    NaN   63.000  79.3800  66.150
        NaN                   110-25.                          ROLLODECESPEDARTIFICIAL              HF      HOGAR    NaN  128.900 142.1100 135.340
        NaN                    110539                          VELASF.CUMPLEAÑOS24PZAS              HF      HOGAR    NaN    0.000   0.3850   0.367
        NaN                    110548                         VELASF.CUMPLEAÑOS24PZAS*              HF      HOGAR    NaN    0.220   0.2420   0.231
        NaN                    111639                          TOPPERSDEMARIPOSA12PZAS              HF      HOGAR    NaN    0.440   0.6060   0.577
        NaN                    111656                           TOPPERSDECARRITO12PZAS              HF      HOGAR    NaN    0.000   0.6060   0.577
        NaN                     112No                                         ALCANCIA              HF     FIESTA    NaN    0.720   0.8400   0.800
        NaN                    112No1                                   ALCANCIACARROS              HF     FIESTA    NaN    0.000   0.8400   0.800
        NaN                    112No2                                  ALCANCIA-DULCES              HF     FIESTA    NaN    0.000   0.8400   0.800
        NaN                    112No3                              ALCANCIACARITAFELIZ              HF     FIESTA    NaN    0.000   0.8400   0.800
        NaN                    112No4                                         ALCANCIA              HF     FIESTA    NaN    0.000   0.8400   0.800
        NaN                    112No5                                         ALCANCIA              HF     FIESTA    NaN    0.000   0.8400   0.800
        NaN                     113-1                          FLORESART.ROSASPEQUEÑAS            H.F.      HOGAR    NaN    0.000   0.6700   0.660
        NaN                    113-14                              FLORESART.ORQUIDEAS            H.F.      HOGAR    NaN    0.000   1.0400   0.990
        NaN                    113-2.                                 FLORESART.CLAVEL            H.F.      HOGAR    NaN    0.000   0.7400   0.710
        NaN                    113430                                           FLAUTA            H.F.     FIESTA    NaN    1.200   1.5100   1.260
        NaN                     113-5                          FLORESART.GIRASOLESNAT.            H.F.      HOGAR    NaN    0.000   1.7500   1.740
        NaN                    113652                       PALILLODEDIENTEGRANDENUEVO            H.F.     FIESTA    NaN    0.160   0.2000   0.170
        NaN                    113950                     PALILLOSDEDIENTECHICOSNUEVOS            H.F.     FIESTA    NaN    0.260   0.2900   0.270
        NaN                     115No                                   ALCANCIACHICA.              HF     FIESTA    NaN    0.600   0.7100   0.680
        NaN                      1190                             TAZASDEPORCELANALOVE              HF      HOGAR    NaN    0.000   0.6200   0.590
        NaN                    120006                     VELASDE3PZAS/DORADAYPLATEADA            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                    120109                                     HILOSDECOCER            H.F.     FIESTA    NaN    0.330   0.4500   0.350
        NaN                    120229                      VELAS/CONCORAZONYESTRELLITA            H.F.     FIESTA    NaN    0.320   0.4000   0.340
        NaN                    120442                          VELASDEESTRELLITASLISAS            H.F.     FIESTA    NaN    0.300   0.3700   0.320
        NaN                    120444                                   HILOSPARATEJER            H.F.     FIESTA    NaN    0.750   0.9400   0.790
        NaN                  120917-0                        VELASDECUMPL.No0METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-1                        VELASDECUMPL.No1METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-2                        VELASDECUMPL.No2METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-3                        VELASDECUMPL.No3METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-4                        VELASDECUMPL.No4METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-5                        VELASDECUMPL.No5METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-6                       VELASDECUMPLE.No6METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-7                       VELASDECUMPLE.No7METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-8                      VELASDECUMPLE.N·08METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                  120917-9                        VELASDECUMPL.No9METALICAS            H.F.     FIESTA    NaN    0.130   0.1600   0.140
        NaN                 1209-20BS                        PELUCHESDEGRADUACION20CM.              HF     FIESTA    NaN    2.050   2.3700   2.250
        NaN                1209-25BS.                        PELUCHESDEGRADUACION25CM.              HF     FIESTA    NaN    2.500   2.8600   2.730
        NaN                 1209-30BS                        PELUCHESDEGRADUACION30CM.              HF     FIESTA    NaN    3.500   4.1300   3.940
        NaN                1209-40BS.                        PELUCHESDEGRADUACION40CM.              HF     FIESTA    NaN    7.500   8.5000   8.080
        NaN               1209-40BS-1                        PELUCHESDEGRADUACION40CM.              HF     FIESTA    NaN    7.500   8.5000   8.080
        NaN                    120BL.                            PLUMADOBLEPUNTANEGRA.              HF    ESCOLAR    NaN    0.000   0.1200   0.110
        NaN                    120BU.                             PLUMADOBLEPUNTAAZUL.              HF    ESCOLAR    NaN    0.000   0.1200   0.110
        NaN                    120RE.                             PLUMADOBLEPUNTAROJA.              HF    ESCOLAR    NaN    0.000   0.1200   0.110
        NaN                  120X180.                              TABLEROBLANCOGRANDE              HF    ESCOLAR    NaN    0.000  40.0000  39.990
        NaN                   1210-HS                             DISFRAZDEENFERMERAS.              HF     FIESTA    NaN    0.000   1.8700   1.860
        NaN                   1210-JS                                DISFRAZDEPOLICIA.              HF     FIESTA    NaN    1.750   1.8700   1.860
        NaN                   1210-XF                               DISFRAZDEBOMBEROS.              HF     FIESTA    NaN    1.750   1.8700   1.860
        NaN                    121-3.                              animalesmarinos6pza              HF    ESCOLAR    NaN    0.000   1.2100   1.150
        NaN                    121359                                    ETIQUETALISAS              HF    ESCOLAR    NaN    0.000   0.2750   0.262
        NaN                    121553                                ETIQUETACONDISEÑO              HF    ESCOLAR    NaN    0.000   0.4400   0.420
        NaN                    121-6.                           animalesmarinosgrandes              HF    ESCOLAR    NaN    0.000   1.7000   1.620
        NaN                  121636-0                                         VELASNo0            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-1                                         VELASNo1            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-2                                         VELASNo2            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-3                                         VELASNo3            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-4                                         VELASNo4            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-5                                         VELASNo5            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-6                                         VELASNo6            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-7                                         VELASNo7            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-8                                         VELASNo8            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                  121636-9                                         VELASNo9            H.F.     FIESTA    NaN    0.200   0.2500   0.210
        NaN                   1217-12                                 VINCHADEHAWAIANA              HF     FIESTA    NaN    0.000   0.3900   0.380
        NaN                   1217-24                                 COLLARDEHAWAIANA              HF     FIESTA    NaN    0.000   0.1500   0.100
        NaN                   1217-30                                  FALDADEHAWAIANA              HF     FIESTA    NaN    0.000   0.4600   0.450
        NaN                      122*                                  ALCANCIASNUEVAS              HF      HOGAR    NaN    0.000   1.2100   1.150
        NaN                 122358-1.                             CORTINASPLAST.DEBAÑO              HF      HOGAR    NaN    0.770   1.0900   0.910
        NaN                 122358-2.                             CORTINASPLAST.DEBAÑO              HF      HOGAR    NaN    0.770   1.0900   0.910
        NaN                   1228-01                       PELUCHEDE28CMCONEJITASURT.              HF     FIESTA    NaN    1.900   2.0900   1.990
        NaN                   1228-02                             PELUCHE30CMMUÑEQUITA              HF     FIESTA    NaN    0.000   2.0900   1.990
        NaN                   1228-03                     PELUCHESDE16CMCHICOSSURT.COL              HF     FIESTA    NaN    0.000   0.8200   0.780
        NaN                   1228-04                     PELUCHESDE18CMCHICOSSURT.COL              HF    ESCOLAR    NaN    0.000   0.8800   0.840
        NaN                    1238-1                          BASEPARAGLOBOSDECOLORES              HF      HOGAR    NaN    0.000   1.5500   1.540
        NaN                    1238-2                             BASEPARAGLOBOSTRANS.              HF      HOGAR    NaN    0.000   0.5500   0.520
        NaN                    124924                                  FLORESDENAVIDAD              HF      HOGAR    NaN    0.000   1.5900   1.520
        NaN                    125125                                  PORTARETRATO4X6              HF      HOGAR    NaN    0.000   0.6600   0.630
        NaN                  125125-1                                  PORTARETRATO6X8              HF      HOGAR    NaN    0.780   0.8590   0.819
        NaN                  125125-2                                 PORTARETRATO8X10              HF      HOGAR    NaN    0.880   0.9700   0.920
        NaN                  125125-3                                   PORTARETRATOA4              HF      HOGAR    NaN    0.950   1.0400   0.990
        NaN                 125125-ST                                PORTARETRATOTODOS              HF      HOGAR    NaN    0.000   0.6600   0.630
        NaN                    125207                                    FLORDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.8200   0.780
        NaN                     125-5                          MANZANAROJAP/DECORACION             NaN    NAVIDAD    NaN    0.000   0.4400   0.420
        NaN                  125615-1                                  PORTARETRATO6X8              HF      HOGAR    NaN    0.800   0.8800   0.840
        NaN                  125615-2                                 PORTARETRATO8X10              HF      HOGAR    NaN    0.950   1.0400   0.990
        NaN                  125615-3                                   PORTARETRATOA4              HF      HOGAR    NaN    1.000   1.1000   1.050
        NaN                    125652                                    FLORDENAVIDAD             NaN  JUEGUETES    NaN    0.000   0.0000   0.000
        NaN                  125912-1                                  PORTARETRATO4X6              HF      HOGAR    NaN    0.700   0.7700   0.730
        NaN                  125912-2                                  PORTARETRATO5X7              HF      HOGAR    NaN    0.850   0.9800   0.890
        NaN                     126-3                           SACAPUNTAENSETDE3PSAS.              HF    ESCOLAR    NaN    0.160   0.2000   0.170
        NaN                       128                                INSECTOSP/MAQUETA             NaN      HOGAR    NaN    0.000   0.8000   0.790
        NaN              1286-18-100H                  GLOBOSGRANDELATEXLARGODE100PZAS              HF     FIESTA    NaN    0.000   2.2000   2.000
        NaN               1286-18-50H                      GLOBOSGRANDEDELATEXDE50PZAS              HF     FIESTA    NaN    0.000   1.2500   1.240
