 Unnamed: 0                    CODIGO                                      DISCRIPCION           MARCA      GRUPO  UNIDA    COSTO      P-A     P-B
        NaN                 A6317-3F.                                  PINCELESDE3PSA.              HF    ESCOLAR    NaN    0.000   0.3500   0.330
        NaN                   A6317F.                                  PINCELESDE6PSA.              HF    ESCOLAR    NaN    0.000   0.4700   0.450
        NaN                     AB307                              FOLDERDE1SOLOGANCHÓ            H.F.      HOGAR    NaN    0.000   0.7500   0.740
        NaN                AB9024200.                      BOLASDENAVIDADENF.DEMANZANA              HF    NAVIDAD    NaN    0.000   0.5900   0.560
        NaN                 AB9028170                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.5500   0.520
        NaN                AB9165280.                      BOLASDENAVIDADENF.DEMANZANA              HF    NAVIDAD    NaN    0.000   0.8000   0.770
        NaN                    AC280.                          pistolaparagomacaliente              HF      HOGAR    NaN    1.120   1.3500   1.180
        NaN                  AC5113-1                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.5000   0.400
        NaN                  AC5113-2                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.5000   0.400
        NaN                  AC5113-3                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.6500   0.640
        NaN                 AC5117-5.                                   BOLASDENAVIDAD              HF    ESCOLAR    NaN    0.000   0.3600   0.340
        NaN                  AC7156-1                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.8500   0.840
        NaN                  AC7156-2                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   1.2500   1.240
        NaN                    AC8250                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   0.7500   0.740
        NaN                  AC8250-1                                   BOLASDENAVIDAD             NaN    NAVIDAD    NaN    0.000   1.3500   1.340
        NaN                 AFLC-230.                 CARTONCILLOFLORECENTESURTIDOCOL.              HF        NaN    NaN    0.000   1.1570   1.102
        NaN                   AH-7135                               CARITADESOLDEHELIO             NaN     FIESTA    NaN    0.000   0.4300   0.420
        NaN                  AH-E0007                            CARITADEEMOJISDEHELIO             NaN     FIESTA    NaN    0.000   0.2400   0.230
        NaN                  AH-E0009                            LUNADEHELIODE3COLORES             NaN     FIESTA    NaN    0.000   0.3600   0.350
        NaN                    AL5001                                   COMPASPLASTICO              HF    ESCOLAR    NaN    0.600   0.7500   0.630
        NaN                     AX-10                       FOMENFORMADECORAZON/10PSAS              HF    NAVIDAD    NaN    0.300   0.3700   0.315
        NaN                    B06135                                   JUEGODEDOCTORA              HF  JUEGUETES    NaN    0.620   0.7500   0.650
        NaN                    B06158                                         JUGUETES              HF  JUEGUETES    NaN    0.000   1.0700   1.060
        NaN                    B06163                                 JUEGODE4CARRITOS              HF  JUEGUETES    NaN    0.000   0.9200   0.910
        NaN                    B06202                               TAMBORDE10PULGADAS              HF  JUEGUETES    NaN    1.400   1.7600   1.470
        NaN                    B06275                              BARBIRCONACCESORIOS              HF  JUEGUETES    NaN    0.000   2.6500   2.640
        NaN                    B06295                                 ALCANCIAPLASTICA              HF  JUEGUETES    NaN    0.000   0.7700   0.760
        NaN                    B06361                                JUGUETEDEPECESITO              HF  JUEGUETES    NaN    0.000   1.1900   1.180
        NaN                    B06362                                 JUGUETEDETORTUGA              HF  JUEGUETES    NaN    0.000   1.1200   1.110
        NaN                    B06429                               SETDEPESCADO14PZAS              HF    JUGUETE    NaN    8.550  10.8000   8.980
        NaN                    B06448                        PELOTASCONCARITASDEEMOJIS             NaN    JUGUETE    NaN    0.000   0.7700   0.760
        NaN                    B06451                             SETDEFRUTASPLASTICAS             NaN      HOGAR    NaN    0.000   1.6000   1.590
        NaN                    B06484                      JUEGODEARCOCONPATITOSDECOL.             NaN    JUGUETE    NaN    0.000   0.7700   0.760
        NaN                    B06506                                       LENTESLOCO              HF  JUEGUETES    NaN    0.000   0.5000   0.500
        NaN                    B06826                          MUÑECACONVESTIDODENOCHE              HF  JUEGUETES    NaN    0.000   2.0000   1.990
        NaN                    B06834                                  JUEGODE2MUÑECAS              HF  JUEGUETES    NaN    0.000   2.2500   1.750
        NaN                    B06875                              JUEGODEDOCTORGRANDE              HF  JUEGUETES    NaN    0.000   1.2500   1.240
        NaN                   B10889.                                            LEGOS              HF      HOGAR    NaN    1.170   1.3700   1.220
        NaN                   B10899.                                            LEGOS              HF      HOGAR    NaN    0.000   1.3700   1.310
        NaN                   B-10X12                             CANVASCONMADERANEGRO              HF    ESCOLAR    NaN    1.120   1.3500   1.180
        NaN                   B-12X16                      CANVASCONMADERAMEDIANANEGRA              HF    ESCOLAR    NaN    1.330   1.4600   1.390
        NaN                    B14754                                         BURBUJAS             NaN    JUGUETE    NaN    0.000   0.8700   0.860
        NaN                   B15-171                                   VASIJASDE3PZAS            H.F.      HOGAR    NaN    0.000   1.6000   1.590
        NaN                  B-16X20.                       CANVASCONMADERAGRANDENEGRA              HF    ESCOLAR    NaN    1.900   2.2900   1.990
        NaN                    B18382                       PELOTASINFLABLES/de51cmx20              HF      HOGAR    NaN    0.920   1.1600   0.970
        NaN                    B18400                                  FLOTADORDEPLAYA              HF      HOGAR    NaN    0.000   1.7600   1.680
        NaN                    B19150                                    LENTESDEBUCEO            H.F.    JUGUETE    NaN    0.000   0.4200   0.410
        NaN                   B1-B402                              ABANICOMEDIANOVERDE              HF      HOGAR    NaN    0.000  10.2500   9.760
        NaN                     B4050                          TEMPERADE12COLORESNUEVA              HF      HOGAR    NaN    0.000   2.2000   2.100
        NaN                  B503-168                           PALILLOSDEOIDODEMADERA        EVERSOFT      HOGAR    NaN    0.000   0.2000   0.190
        NaN                   B-5165.                             BOLIGRAFOSDE3COLORES              HF    ESCOLAR    NaN    0.000   0.1760   0.160
        NaN                   B-5519.                             BOLIGRAFOSDE4COLORES              HF    ESCOLAR    NaN    0.170   0.2050   0.185
        NaN                     B612.                      PALETADEACUARELADE12COLORES              HF    NAVIDAD    NaN    0.000   0.3600   0.340
        NaN                  B82-2012                                   VASOSPLASTICOS             NaN      HOGAR    NaN    0.000   0.8500   0.840
        NaN                    B-8X11                             CANVASCONMADERANEGRA              HF    ESCOLAR    NaN    0.950   1.1500   1.000
        NaN                   BD-1008                             JUEGODEGEOMETRIA9PZA             NaN    ESCOLAR    NaN    0.850   1.0300   0.890
        NaN                   BFB-100                           TIZASBLANCASDE100PZAS.              HF    ESCOLAR    NaN    0.000   0.3700   0.360
        NaN                    BFB-12                            TIZADEBLANCADE12PZAS.              HF    ESCOLAR    NaN    0.000   0.1500   0.140
        NaN                    BGP-20                      BRAZOSDEHIERROP/MADERADOBLE              HF    ESCOLAR    NaN    0.000   0.4960   0.472
        NaN                    BGP-25                      BRAZODEHIERROSP/MADERADOBLE              HF    ESCOLAR    NaN    0.000   0.5510   0.520
        NaN                   BH100Y.                        TIJERAPUNTAROMA,ENBLISTER              HF    ESCOLAR    NaN    0.000   0.3000   0.290
        NaN                 BH102-8M.                               CORRECTOR/CONCINTA              HF    ESCOLAR    NaN    0.000   0.2600   0.250
        NaN                   BH-5500                    TIJERASDECOLORESP/PREESCOLAR.              HF      HOGAR    NaN    0.000   0.1700   0.160
        NaN                   BH813-1                                         SELLITOS              HF    ESCOLAR    NaN    0.000   0.0500   0.040
        NaN                   BH813-4                                         SELLITOS              HF    ESCOLAR    NaN    0.000   0.0500   0.040
        NaN                   BH813-5                                         SELLITOS              HF    ESCOLAR    NaN    0.000   0.0500   0.040
        NaN                   BHK-X20                       CANVASDISEÑODECORAZON20*30              HF      HOGAR    NaN    0.450   0.6000   0.530
        NaN                   BHK-X30                       CANVASDISEÑODECORAZON30*30              HF      HOGAR    NaN    1.000   1.3900   1.210
        NaN                   BHK-X40                       CANVASDISEÑODECORAZON40*40              HF      HOGAR    NaN    1.350   1.8100   1.570
        NaN                   BHK-Y20                         CANVASDISEÑOREDONDO20*20              HF      HOGAR    NaN    0.400   0.6000   0.530
        NaN                   BHK-Y30                         CANVASDISEÑOREDONDO30*30              HF      HOGAR    NaN    1.080   1.4200   1.240
        NaN                   BHK-Y40                         CANVASDISEÑOREDONDO40*40              HF      HOGAR    NaN    1.450   1.8700   1.630
        NaN                    BJQ-1.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                  BJQ-1AL9                   CORTINAINFLABLEDEFIESTASURTIDA             NaN     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-2.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-3.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-4.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-5.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-6.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-7.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-8.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                    BJQ-9.                               CORTINASINFLABLES.              HF     FIESTA    NaN    0.000   0.5000   0.490
        NaN                   BK-5070                           CARTONCILLOBLANCO50X70             NaN      HOGAR    NaN   15.500  18.7500  16.300
        NaN                   BK-8511                          CARTONCILLOBLANCO8.5X11             NaN      HOGAR    NaN    0.850   1.0500   0.890
        NaN                       BLB                                       VASODEPIÑA             NaN  JUEGUETES    NaN    0.000   0.6800   0.670
        NaN                    BXD-26                           BOLSATRANSPARENTE26X45              HF      HOGAR    NaN    0.000   0.0500   0.042
        NaN                   BXD-26.                       BOLSASTRANSPARENTE26/26X45              HF      HOGAR    NaN    0.000   0.0500   0.042
        NaN                    BXD-28                      BOLSASTRANSPARENTE28*/28X57              HF      HOGAR    NaN    0.000   0.3850   0.360
        NaN                   BXD-28.                        BOLSASTRANSPARENTE28/60LB              HF      HOGAR    NaN    0.000   0.3850   0.360
        NaN                    BXD-33                      BOLSASTRANSPARENTE*33/33X70              HF      HOGAR    NaN    0.000   0.0500   0.042
        NaN                   BXD-33.                      BOLSASTRANSPARENTE33*/33X70              HF      HOGAR    NaN    0.000   0.0500   0.042
        NaN                      BY-5                    FOMBOLITASALAMITAD/5CM.12PSAS            H.F. FERRETERIA    NaN    0.280   0.3700   0.310
        NaN                      BY-6                    BOLITADEFOMALAMITAD/12PSAS6CM            H.F. FERRETERIA    NaN    0.320   0.4000   0.330
        NaN                      BY-7                   BOLITADEFOAMALAMITAD/7CM,8PSAS            H.F. FERRETERIA    NaN    0.280   0.3500   0.290
        NaN                  BYG00801                                              CAP            H.F. FERRETERIA    NaN    0.000   0.1200   0.110
        NaN                BYT6025-3.                                ACRILICA,DE12PSA.            H.F.     FIESTA    NaN    2.500   2.8800   2.620
        NaN                   BYWG120                                GOMA BLANCADE120G            H.F. FERRETERIA    NaN    0.000   0.3200   0.310
        NaN                   BYWG250                                GOMA BLANCADE250G            H.F. FERRETERIA    NaN    0.000   0.5800   0.570
        NaN                    BYWG40                                 GOMA BLANCADE40G            H.F. FERRETERIA    NaN    0.000   0.1200   0.110
        NaN                   BYWG500                                GOMA BLANCADE500G            H.F. FERRETERIA    NaN    0.000   0.9200   0.910
        NaN                    BYWG60                                 GOMA BLANCADE60G            H.F. FERRETERIA    NaN    0.000   0.1700   0.160
        NaN                  BZZ-5070                           PAPELDEREGALOSSURTIDOS             NaN      HOGAR    NaN    0.000   0.0900   0.080
        NaN                    C01739                              PISTOLASDEAGUANUEVA             NaN  JUEGUETES    NaN    0.620   0.7800   0.650
        NaN ANIMALES DOMESTICOS P/MAQ                                              NaN             NaN  JUEGUETES    NaN    0.000   0.8400   0.830
        NaN                    C02742                                INSECTOSP/MAQUETA             NaN  JUEGUETES    NaN    0.000   0.8400   0.830
        NaN                    C02743                                ANIMALESP/MAQUETA             NaN  JUEGUETES    NaN    0.000   0.8400   0.830
        NaN                    C02748                                  MUÑEQUITADEFLOR             NaN    JUGUETE    NaN    0.000   1.7500   1.740
        NaN                    C02798                                TAMBORDE8PULGADAS              HF    JUGUETE    NaN    1.170   1.4700   1.220
        NaN                    C02800                                TAMBORDE7PULGADAS              HF    JUGUETE    NaN    0.900   1.1400   0.950
        NaN                    C02803                            carteritasparafiestas             NaN    JUGUETE    NaN    0.000   1.0000   1.000
        NaN                    C02805                                 CARTERITASP/NIÑA             NaN    JUGUETE    NaN    0.000   1.3000   1.290
        NaN                    C02818                              BOLASDECARITASFELIZ             NaN    FIESTAS    NaN    0.000   0.5500   0.540
        NaN                    C02819                              PELOTASDEANIMALITOS             NaN    JUGUETE    NaN    0.000   0.6700   0.660
        NaN                    C02840                               CARROCONTROLREMOTO             NaN    JUGUETE    NaN    0.000   2.3000   2.290
        NaN                    C02862                                PLASTILINADE4PZAS             NaN    JUGUETE    NaN    0.000   0.8800   0.840
        NaN                   C02888.                       JUEGODEMUÑECASYACCESORIOS1              HF    JUGUETE    NaN    0.500   0.6300   0.530
        NaN                    C02895                           PISTOLAENF/CARITAFELIZ             NaN    JUGUETE    NaN    0.000   2.5000   2.490
        NaN                    C02899                             JUEGOSDERELOJP/NIÑOS             NaN    JUGUETE    NaN    0.000   5.7700   5.760
        NaN                    C02905                              MUÑEQUITAADAMADRINA             NaN    JUGUETE    NaN    0.000   1.6500   1.640
        NaN                    C02953                               CARROCONTROLREMOTO             NaN    JUGUETE    NaN    0.000   2.0000   1.990
        NaN                    C02979                        PERRITOCONMUSICAU/BATERIA             NaN    JUGUETE    NaN    0.000   1.7500   1.740
        NaN                    C03035                             BOTELLAP/AGUACONTAPA             NaN      HOGAR    NaN    0.000   0.8500   0.850
        NaN                    C03036                            BOTELLASP/AGUACONTAPA             NaN      HOGAR    NaN    0.000   0.8500   0.840
        NaN                    C03053                        PELUCHESCHIKITOENF/DEPONY             NaN    JUGUETE    NaN    0.000   1.1500   1.140
        NaN                    C03121                                    LENTESDEBUCEO             NaN    JUGUETE    NaN    0.000   0.6300   0.620
        NaN                    C03128                                        JUEGODETE             NaN    JUGUETE    NaN    0.000   0.4000   0.390
        NaN                    C03139                                JUEGODETECHIQUITO             NaN    JUGUETE    NaN    0.000   0.6300   0.620
        NaN                    C03140                                           MUÑECA             NaN    JUGUETE    NaN    0.000   0.7700   0.760
        NaN                    C03145                             JUGUETESCONSTRUCCION             NaN    JUGUETE    NaN    0.000   0.9300   0.890
        NaN                    C03150                                       CUBOMAGICO              HF    JUGUETE    NaN    2.570   2.9600   2.690
        NaN                    C03154                                          JUGUETE             NaN    JUGUETE    NaN    0.000   1.5400   1.540
        NaN                    C03164                           JUEGODEPISTOLACONRELOJ             NaN    JUGUETE    NaN    0.000   0.9200   0.910
        NaN                    C03172                                    JUEGODEDOCTOR             NaN    JUGUETE    NaN    0.000   0.7000   0.690
        NaN                    C03188                                    JUEGODEDOCTOR             H F    JUGUETE    NaN    0.000   0.8200   0.810
        NaN                    C03191                                         CORNETAS             NaN    JUGUETE    NaN    0.000   0.2100   0.200
        NaN                    C03192                                         CORNETAS             NaN    JUGUETE    NaN    0.000   0.3700   0.360
        NaN                    C03193                                         CORNETAS             NaN    JUGUETE    NaN    0.000   0.4900   0.480
        NaN                    C03236                                PERRITOSU/BATERIA             NaN    JUGUETE    NaN    0.000   3.5000   3.490
        NaN                    C03238                                         PERRITOS             NaN    JUGUETE    NaN    0.000   2.7000   2.690
        NaN                    C03241                         PERRITODECOLRESU/BATERIA             NaN    JUGUETE    NaN    0.000   2.5000   2.500
        NaN                    C03249                                     LEGOSBLOQUES             NaN    JUGUETE    NaN    0.870   1.0500   0.910
        NaN                    C03259                             JUEGODERIFLEP/SAFARI             NaN    JUGUETE    NaN    0.000   1.2700   1.260
        NaN                    C03270                                   JUEGO DE AVION              HF    JUGUETE    NaN    0.750   0.9500   0.790
        NaN                    C03279                                    PATITOSSEHULE              HF    JUGUETE    NaN    1.000   1.2600   1.050
        NaN                    C03285                                  BURBUJASABANICO             NaN    JUGUETE    NaN    0.000   0.1600   0.150
        NaN                    C03356                           JUEGODEBURBUJADEDELFIN             H F  JUEGUETES    NaN    0.000   0.7100   0.680
        NaN                    C04024                                         BURBUJAS             NaN    JUGUETE    NaN    0.000   1.4000   1.390
        NaN                    C08929                                           CARROS              HF    JUGUETE    NaN    1.300   1.6300   1.360
        NaN                    C09423                     PISTOLADEAGUAENF/DEMARIQUITA             NaN    JUGUETE    NaN    0.000   2.5000   2.490
        NaN                     C113V                            PORTACARNETMAT.FUERTE              HF     FIESTA    NaN    0.000   0.1100   0.100
        NaN                    C13330            JUEGODECARRITOSDE12PZAS/RETREXAVADORA            H.F.    JUGUETE    NaN    0.000   6.7700   6.760
        NaN                   C1369-0                          CORTINADEFIESTACELESTE.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                  C1369-1.                           CORTINADEFIESTADORADA.              HF     FIESTA    NaN    0.460   0.5300   0.480
        NaN                 C1369-10L                           FelizCumpleañosSURTIDO              HF     FIESTA    NaN    0.500   0.6000   0.550
        NaN                  C1369-11                           CORTINADEFIESTABLANCA.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                  C1369-12                           CORTINADEFIESTAFUCSIA.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                  C1369-13                         CORTINADEFIESTAAMARILLA.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                  C1369-14                           CORTINADEFIESTAROSADA.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                 C1369-15.                         CORTINADEFIESTAROSEGOLD.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                  C1369-2.                          CORTINADEFIESTAPLATIADA              HF     FIESTA    NaN    0.460   0.5300   0.480
        NaN                   C1369-3                             CORTINADEFIESTAROJA.              HF     FIESTA    NaN    0.460   0.5300   0.480
        NaN                   C1369-4                             CORTINADEFIESTAAZUL.              HF     FIESTA    NaN    0.460   0.4900   0.470
        NaN                   C1369-5                            CORTINADEFIESTAVERDE.              HF      HOGAR    NaN    0.460   0.5300   0.480
        NaN                   C1369-6                           CORTINADEFIESTAMORADO.              HF     FIESTA    NaN    0.460   0.5300   0.480
        NaN                   C1369-7                         CORTINADEFIESTATORNASOL.              HF     FIESTA    NaN    0.000   1.0500   0.960
        NaN                   C1369-8                           CORTINADEFIESTAROSADO.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                   C1369-9                            CORTINADEFIESTANEGRA.              HF     FIESTA    NaN    0.460   0.5300   0.480
        NaN                  C1369-ST                          CORTINADEFIESTASURTIDA.              HF     FIESTA    NaN    0.000   0.4900   0.470
        NaN                   C1-C250                          ABANICOCHICODE6PZASAZUL             NaN      HOGAR    NaN    0.000   8.1300   7.740
        NaN                     C-316                   JUEGODEFIESTACONCORTINAYGLOBOS             NaN        NaN    NaN    0.000   1.7500   1.740
        NaN                    C488-B                                   JUEGODECOLADOR             NaN      HOGAR    NaN    0.000   0.4500   0.440
        NaN                 C611-9909                                   VASOSPLASTICOS              AR      HOGAR    NaN    0.000   0.6500   0.630
        NaN                  C63-9806                               VASOSDECARITAFELIZ            H.F.      HOGAR    NaN    0.000   0.5000   0.490
        NaN                  C-882BL.                           MARCADORESDEAGUANEGRO.              HF    ESCOLAR    NaN    0.000   0.1400   0.130
        NaN                  C-882BU.                            MARCADORESDEAGUAAZUL.              HF    ESCOLAR    NaN    0.000   0.1400   0.130
        NaN                  C-882RE.                            MARCADORESDEAGUAROJO.              HF    ESCOLAR    NaN    0.000   0.1400   0.130
        NaN                  CAS-280H                                 BARAJASDECASINO.              HF    JUGUETE    NaN    0.000   0.2700   0.240
        NaN                 CCEVA-000              FOMICHICOESCARCHADODE8.5X11,SURTIDO              HF  ESCOLARES    NaN    0.840   1.1300   0.940
        NaN                      CD-1                             LUCESDENAVIDADBLANCA              HF    NAVIDAD    NaN    1.450   1.7900   1.710
        NaN                      CD-2                        LUCESDENAVIDAD/MULTICOLOR             NaN    NAVIDAD    NaN    1.450   1.7900   1.710
        NaN                      CD-3                               LUCESDENAVIDADROJA             NaN    NAVIDAD    NaN    1.450   1.7900   1.710
        NaN                      CD-4                             LUCESDENAVIDADBLANCA             NaN    NAVIDAD    NaN    1.450   1.7900   1.710
        NaN                      CD-5                                   LUCESDENAVIDAD             NaN    NAVIDAD    NaN    1.450   1.7900   1.710
        NaN                   CFB-100                         TIZASDECOLORESDE100PZAS.              HF    ESCOLAR    NaN    0.000   0.4700   0.460
        NaN                    CFB-12                          TIZASDECOLORESDE12PZAS.              HF    ESCOLAR    NaN    0.000   0.1900   0.170
        NaN                CF-EVA-00S               FOMICHICO8.5X11FLUORECENTESSURTIDO              HF  ESCOLARES    NaN    0.000   0.9000   0.750
        NaN               CF-GEVA-00S               FOMIGRANDE50X70FLUORECENTESSURTIDO              HF  ESCOLARES    NaN    0.000   9.6500   9.190
        NaN               CGEVA-000GR                                FOMILISO29.5X49CM             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN               CGEVA-004GR                         FOMILISO29.5X49CMFUCHSIA             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-007GR                           FOMILISO29.5X49CMPEACH             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-008GR                          FOMILISO29.5X49CMORANGE             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-009GR                     FOMILISO29.5X49CMLIGHTORANGE             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-010GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-013GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-014GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-015GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-017GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-019GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-021GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-025GR                                             FOMI             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN              CGEVA-027GR.                                             FOMI             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN              CGEVA-028GR.                                             FOMI             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN              CGEVA-029GR.                                             FOMI             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN               CGEVA-031GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-033GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-037GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-041GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-042GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-046GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-047GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-049GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-050GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-051GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN               CGEVA-052GR                                             FOMI             NaN    ESCOLAR    NaN    0.090   0.1300   0.120
        NaN                 CHIRI-000                  FOMICHICO8.5X11,TORNASOLSURTIDO              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                CHIRI-001.                   FOMICHICO8.5X11,TORNASOLV.CAÑA              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                CHIRI-002.                  FOMICHICO8.5X11,TORNASOLNARANJA              HF  ESCOLARES    NaN    0.840   1.1300   0.940
        NaN                CHIRI-003.             FOMICHICO8.5X11,TORNASOLNARANJA-ROJO              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                CHIRI-004.                   FOMICHICO8.5X11,TORNASOLROSADO              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                CHIRI-005.                  FOMICHICO8.5X11,TORNASOLCELESTE              HF  ESCOLARES    NaN    0.840   1.1300   0.940
        NaN                CHIRI-006.                   FOMICHICO8.5X11,TORNASOLMORADO              HF  ESCOLARES    NaN    0.840   1.1300   0.940
        NaN                CHIRI-007.                 FOMICHICO8.5X11,TORNASOLAMARILLO              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                CHIRI-008.                   FOMICHICO8.5X11,TORNASOLROSADO              HF  ESCOLARES    NaN    0.000   1.1300   0.940
        NaN                    CL-502                          JUEGODEBORRADORCONMARC.              HF    ESCOLAR    NaN    0.000   0.5700   0.560
        NaN                     CLD-1                                   LUCESDENAVIDAD             NaN    NAVIDAD    NaN    2.000   2.4800   2.360
        NaN                     CLD-2                                   LUCESDENAVIDAD             NaN    NAVIDAD    NaN    2.000   2.4800   2.360
        NaN                     CLD-3                                   LUCESDENAVIDAD              HF    NAVIDAD    NaN    2.000   2.4200   2.310
        NaN                     CLD-4                                   LUCESDENAVIDAD             NaN    NAVIDAD    NaN    2.000   2.4800   2.360
        NaN                     CLD-5                                   LUCESDENAVIDAD             NaN    NAVIDAD    NaN    2.000   2.4800   2.360
        NaN                      CL-H                          FLORESARTIFICIALES/ROSA             NaN    ESCOLAR    NaN    0.000   0.7400   0.710
        NaN              CLPR-EVA-00D               FOMILISOCONDISEÑOSESCARCHADOS50X70              HF  ESCOLARES    NaN    0.000   0.7800   0.770
        NaN              CLPR-EVA-0CH              FOMILISOCONDISEÑOSESCARCHADOS8.5X11              HF  ESCOLARES    NaN    0.000   0.0800   0.070
        NaN                CMEVA-00ES                              FOMIESCARCHADO11X17             NaN    ESCOLAR    NaN    0.000   0.2500   0.220
        NaN                CMEVA-00ST                                    FOMILISO11X17             NaN    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN                       CNK                              BOTONESP/MANUALIDAD             NaN    SEDERIA    NaN    0.000   0.3000   0.290
        NaN                     CP-22                             RASTRILLODE22DIENTES              HF FERRETERIA    NaN    0.000   1.2700   1.210
        NaN                   CP-22PL                                    PALORASTRILLO              HF FERRETERIA    NaN    0.000   0.0000   0.000
        NaN                     CP-24                             RASTRILLODE24DIENTES              HF FERRETERIA    NaN    0.000   1.4600   1.390
        NaN                   CP-24PL                             RASTRILLODE24DIENTES              HF FERRETERIA    NaN    0.000   0.0000   0.000
        NaN                      CPGZ                                  PALODETRAPEADOR             NaN FERRETERIA    NaN    0.000   0.0000   0.000
        NaN               CPR-EVA-00D                          FOMILISOCONDISEÑO8.5X11              HF  ESCOLARES    NaN    0.000   0.0800   0.070
        NaN              CPR-EVA-00DG                           FOMILISOCONDISEÑO50X70              HF  ESCOLARES    NaN    0.000   0.7800   0.770
        NaN                  CSZ-501.                          PAPELPARAREGALOENTIRITA              HF     FIESTA    NaN    0.000   0.4600   0.440
        NaN                  CSZ-502.                          PAPELPARAREGALOENTIRITA              HF     FIESTA    NaN    0.000   0.4600   0.440
        NaN                      CT07                       HILONAILONPARÁMANUALIDADES              HF    ESCOLAR    NaN    0.000   0.1300   0.120
        NaN                      CT-2                     PAQUETEDEFIGURASSURTIDASLISA             NaN        NaN    NaN    0.000   0.0000   0.000
